레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
Seasoned Squid with Wild Chives,11,"오징어,없는단어,달래,고춧가루,간장,식초,참기름,없는단어,없는단어,참깨,후추",squid|cucumber|wild chive|[Chogochujang (Korean hot pepper paste with vinegar)] red pepper powder|soy sauce|vinegar|sesame oil|syrup|Gochu-jang (Korean red chili paste)|ground sesame seed|pepper,https://haemukja.com/recipes/3110,반찬,간식/야식|술안주|손님 접대 요리,한식 요리,63.25,8.0,17.95,381.65,31.1,3.7,"['오징어', '없는단어', '달래', '고춧가루', '간장', '식초', '참기름', '없는단어', '없는단어', '참깨', '후추']",3.3
Seasoned Tomato Chive,9,"토마토,쪽파,고춧가루,생선소스,마늘,매실액,식초,참깨,참기름",tomato|chives|[Sauce] red pepper powder|fish sauce|minced garlic|plum syrup|vinegar|ground sesame seed|sesame oil,https://haemukja.com/recipes/3077,반찬,,양식 요리|퓨전요리|한식 요리,24.85,8.75,2.4,107.15,20.65,24.15,"['토마토', '쪽파', '고춧가루', '생선소스', '마늘', '매실액', '식초', '참깨', '참기름']",3.5
Shrimp Naeng Momil (Buckwheat noodles in chilled broth),6,"없는단어,새우,없는단어,무순,없는단어,물",buckwheat noodles (soba noodles)|shrimps|onion|radish sprouts|soba dipping sauce (tsuyu)|water,https://haemukja.com/recipes/3001,국밥/면/죽,간식/야식,일식 요리,384.9,82.1,18.6,1349.2,67.2,9.1,"['없는단어', '새우', '없는단어', '무순', '없는단어', '물']",2.1
Shrimp Salad with Lemon Dressing,4,"레몬,새우,샐러드,청포도",lemon|shrimps|vegetable mix for salad|green grapes,https://haemukja.com/recipes/3059,샐러드,술안주|간식/야식|파티/명절요리,양식 요리,76.3,8.9,9.5,121.3,56.7,27.3,"['레몬', '새우', '샐러드', '청포도']",3.5
Soy Sauce Braised Eggs,12,"계란,소금,식초,말린고추,대파,말린다시마,물,간장,설탕,없는단어,없는단어,마늘",egg|salt|vinegar|[Braise sauce] dried red peppers|large green onion|dried kelp|water|soy sauce|sugar|cooking wine (or mirim)|syrup|minced garlic,https://haemukja.com/recipes/3097,반찬,,한식 요리,14.525,4.325,4.075,308.825,17.45,0.475,"['계란', '소금', '식초', '말린고추', '대파', '말린다시마', '물', '간장', '설탕', '없는단어', '없는단어', '마늘']",3.9
Spam Rice Pancake,8,"햄,밥,계란,파,오꼬노미야끼소스,마요네즈,없는단어,고추",[Ingredients] spam|rice|egg|[Optional] scallion|Okonomiyaki sauce|mayonnaise|Dried bonito (katsuobushi)|[Sauce] pepper ,https://haemukja.com/recipes/3116,후식,간식/야식,퓨전요리|한식 요리,124.05,18.55,5.35,49.55,17.8,0.55,"['햄', '밥', '계란', '파', '오꼬노미야끼소스', '마요네즈', '없는단어', '고추']",2.8
Spicy Cheese Ribs,5,"바베큐,알갱이마늘,고추,맛술,모짜렐라치즈",barbecue ribs|granulated garlics|whole peppers|cooking wine|mozzarella cheese,https://haemukja.com/recipes/3041,반찬,파티/명절요리,양식 요리|한식 요리,270.1,6.2,47.05,154.35,40.6,7.1,"['바베큐', '알갱이마늘', '고추', '맛술', '모짜렐라치즈']",3.8
Spicy Mixed Noodles with Vegetables on a Platter,13,"상추,없는단어,파프리카,없는단어,메밀면,계란,토마토,사과,없는단어,없는단어,간장,식초,겨자",lettuce leaves|cucumber|paprika|sea snail (small can)|buckwheat noodles|[Optional] boiled egg|tomato|[Sauce] apple|onion|Gochu-jang (Korean red chili paste)|soy sauce|vinegar|mustard,https://haemukja.com/recipes/3081,반찬,간식/야식|손님 접대 요리,한식 요리,52.6,17.55,4.75,796.5,37.8,73.55,"['상추', '없는단어', '파프리카', '없는단어', '메밀면', '계란', '토마토', '사과', '없는단어', '없는단어', '간장', '식초', '겨자']",2.2
Spicy Sea Snails with Noodles,11,"골뱅이통조림,없는단어,없는단어,없는단어,없는단어,칠리파우더,설탕,간장,식초,참깨,참기름",canned sea snail|somyeon (Korean thin noodle)|onion|cucumber|sesame leaves|[Sauce] red chili powder|sugar|soy sauce|vinegar|sesame seed|sesame oil,https://haemukja.com/recipes/3288,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,한식 요리,1101.9,213.0,24.3,4206.6,132.4,7.7,"['골뱅이통조림', '없는단어', '없는단어', '없는단어', '없는단어', '칠리파우더', '설탕', '간장', '식초', '참깨', '참기름']",2.5
Spicy Stir-Fried Kimchi and Pork,10,"김치,목살,없는단어,대파,맛술,간장,설탕,고춧가루,후추,마늘",Kimchi|pork neck|onion|large green onion|cooking wine|soy sauce|sugar|red pepper flake|pepper|minced garlic,https://haemukja.com/recipes/3204,반찬,술안주|간식/야식,한식 요리,35.45,11.3,1.65,353.85,17.95,6.05,"['김치', '목살', '없는단어', '대파', '맛술', '간장', '설탕', '고춧가루', '후추', '마늘']",3.4
Spicy Thin-Sliced Pork Belly Rice Bowl,12,"대패삼겹살,설탕,없는단어,간장,참기름,참깨,마늘,녹말시럽,없는단어,식용유,파,녹두나물",Thin-sliced pork belly|sugar|Cheng-ju (Korean rice wine)|soy sauce|sesame oil|sesame seed|minced garlic|starch syrup|Gochu-jang (Korean red chili paste)|cooking oil|green onion|mung bean sprouts,https://haemukja.com/recipes/2889,반찬,,퓨전요리|동남아/인도 요리,202.85,13.7,14.75,285.45,40.7,4.75,"['대패삼겹살', '설탕', '없는단어', '간장', '참기름', '참깨', '마늘', '녹말시럽', '없는단어', '식용유', '파', '녹두나물']",3.3
Spinach Chicken Tortilla Wrap,10,"닭가슴살,과립마늘,시금치,또띠아,없는단어,파마산치즈가루,마요네즈,치즈,소금,후추",chicken breast|granulated garlic|spinach|tortilla|sweet chili sauce (or tomato sauce or ketchup)|[Optional] Parmesan cheese|mayonnaise|sliced cheese|salt|pepper,https://haemukja.com/recipes/3070,빵,간식/야식|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|멕시칸 요리,94.05,20.35,13.6,254.45,115.95,9.45,"['닭가슴살', '과립마늘', '시금치', '또띠아', '없는단어', '파마산치즈가루', '마요네즈', '치즈', '소금', '후추']",3.3
Spinach Pesto Cream Dumpling,9,"튀긴만두,시금치,크림치즈,없는단어,우유,올리브기름,마늘,우유,말린버섯",fried dumpling|spinach|cream cheese|Parmesan cheese powder|milk|olive oil|minced garlic|milk|dried mushroom,https://haemukja.com/recipes/3169,반찬,간식/야식|술안주|손님 접대 요리,퓨전요리|이국적인맛|양식 요리,41.9,3.55,3.25,91.4,75.35,11.35,"['튀긴만두', '시금치', '크림치즈', '없는단어', '우유', '올리브기름', '마늘', '우유', '말린버섯']",2.7
Stir Fried Dumpling and Eggplant,16,"가지,없는단어,없는단어,고춧가루,대파,만두,죽순통조림,고춧가루,마늘,간장,없는단어,굴소스,설탕,참기름,없는단어,후추",eggplant|onion|green pepper|red pepper|large green onion|dumplings|canned bamboo shoots|[Sauce] red pepper powder|minced garlic|soy sauce|cooking wine (or mirim)|oyster sauce|sugar|sesame oil|syrup|pepper,https://haemukja.com/recipes/3090,반찬,술안주|간식/야식,중식 요리,28.45,11.2,1.5,255.65,11.65,12.45,"['가지', '없는단어', '없는단어', '고춧가루', '대파', '만두', '죽순통조림', '고춧가루', '마늘', '간장', '없는단어', '굴소스', '설탕', '참기름', '없는단어', '후추']",2.0
Stir Fried Pork Rind,9,"없는단어,감자,참깨,고추장,마늘,고춧가루,설탕,없는단어,간장",pork rind|potato|sesame seeds|[Sauce] Gochu-jang (Korean red chili paste)|minced garlic|red pepper flake|sugar|cooking wine (or mirim)|soy sauce,https://haemukja.com/recipes/3198,반찬,술안주,한식 요리,61.95,27.15,4.0,311.95,21.1,37.65,"['없는단어', '감자', '참깨', '고추장', '마늘', '고춧가루', '설탕', '없는단어', '간장']",2.1
Stir Fried Potato,10,"감자,없는단어,풋고추,소금,후추,고춧가루,간장,참기름,없는단어,후추",potato|onion|green chili|[Season] salt|pepper|[Sauce] red pepper powder|soy sauce|sesame oil|syrup|pepper,https://haemukja.com/recipes/3093,반찬,술안주,한식 요리,45.2,17.25,2.9,403.65,13.9,32.9,"['감자', '없는단어', '풋고추', '소금', '후추', '고춧가루', '간장', '참기름', '없는단어', '후추']",3.4
Stir-fried Baeksundae (Korean Sausage),10,"없는단어,마늘,녹말시럽,참깨,없는단어,들깨가루,없는단어,없는단어,없는단어,없는단어",Sundae (Korean blood sausage)|whole garlics|starch syrup|sesame seed|Gochu-jang (Korean red chili paste)|Perilla seed powder|Dangmyeon (Korean starch noodle/glass noodle)|sesame leaves|onion|cabbage,https://haemukja.com/recipes/2930,반찬,간식/야식,한식 요리,26.8,15.86666667,0.733333333,190.3333333,26.26666667,4.0,"['없는단어', '마늘', '녹말시럽', '참깨', '없는단어', '들깨가루', '없는단어', '없는단어', '없는단어', '없는단어']",2.5
Stir-Fried Bell Pepper and Pork,9,"없는단어,피망,파프리카,표고버섯,없는단어,없는단어,칠리기름,굴소스,마늘",onion|bell pepper|green paprika|shiitake mushroom|Chinese flower bun|pork (thin strips)|chili oil|oyster sauce|minced garlic,https://haemukja.com/recipes/3188,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|중식 요리|한식 요리,127.15,6.1,1.55,273.45,11.15,68.35,"['없는단어', '피망', '파프리카', '표고버섯', '없는단어', '없는단어', '칠리기름', '굴소스', '마늘']",3.2
Stir-Fried Mushroom and Zucchini,10,"주키니호박,버섯,고춧가루,없는단어,없는단어,참기름,소금,후추,간장,마늘",[Ingredients] zucchini|mushroom|red pepper|green pepper|onion|[Sauce] sesame oil|salt|pepper|soy sauce|minced garlic,https://haemukja.com/recipes/3193,반찬,,한식 요리,26.95,7.55,1.7,177.4,14.85,11.7,"['주키니호박', '버섯', '고춧가루', '없는단어', '없는단어', '참기름', '소금', '후추', '간장', '마늘']",3.6
Stir-Fried Onions,5,"없는단어,쪽파,들깨기름,간장,후추",onion|scallion|wild sesame oil|soy sauce|pepper,https://haemukja.com/recipes/3108,반찬,나들이 요리|술안주|간식/야식,퓨전요리|한식 요리,5.625,2.675,0.55,88.55,13.225,3.6,"['없는단어', '쪽파', '들깨기름', '간장', '후추']",3.9
Stir-Fried Spicy Webfoot Octopus,18,"없는단어,없는단어,없는단어,고추,대파,주꾸미,설탕,고춧가루,없는단어,매실액,소금,간장,마늘,참기름,또띠아,피자치즈,꿀,파슬리",sesame leaves|cabbage|onion|spicy peppers|large green onion|webfoot octopus|sugar|red pepper flake|syrup|plum extract|coarse salt|soy sauce|minced garlic|sesame oil|tortilla|pizza cheese|honey|parsley,https://haemukja.com/recipes/3202,반찬,간식/야식|술안주|손님 접대 요리,퓨전요리|한식 요리,93.25,37.75,4.4,843.25,73.85,43.55,"['없는단어', '없는단어', '없는단어', '고추', '대파', '주꾸미', '설탕', '고춧가루', '없는단어', '매실액', '소금', '간장', '마늘', '참기름', '또띠아', '피자치즈', '꿀', '파슬리']",2.1
Sweet and Spicy Crispy Fried Rice Cake,13,"떡꼬치떡,없는단어,견과류,양파,마늘,고춧가루,간장,없는단어,케첩,없는단어,참기름,없는단어,후추",[Ingredients] rice cake sticks|kimmari (deep fried seaweed rolls stuffed with japchae noodles)|[Optional] chopped nuts|[Sauce] onion|minced garlic|red pepper flake|soy sauce|cooking wine (or mirim)|tomato ketchup|Gochu-jang (Korean red chili paste)|sesame oil|syrup|pepper,https://haemukja.com/recipes/3112,후식,간식/야식|술안주|손님 접대 요리,한식 요리,100.15,35.0,3.85,400.6,16.25,2.4,"['떡꼬치떡', '없는단어', '견과류', '양파', '마늘', '고춧가루', '간장', '없는단어', '케첩', '없는단어', '참기름', '없는단어', '후추']",3.7
Sweet Potato Yogurt Cup Cakes,5,"없는단어,플레인요거트,아몬드,없는단어,꿀",sweet potato (large)|plain yogurt|sliced almond|castella (sponge cake)|honey,https://haemukja.com/recipes/3103,후식,간식/야식|나들이 요리|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|양식 요리,57.2,15.2,2.7,18.55,38.15,6.3,"['없는단어', '플레인요거트', '아몬드', '없는단어', '꿀']",3.1
Tandoori Chicken,14,"없는단어,고춧가루,플레인요거트,마늘,카레분말,올리브기름,레몬,소금,후추,우유,치즈,마요네즈,꿀,레몬즙",chicken|red pepper powder|plain yogurt|minced garlic|curry powder|olive oil|lemon|salt|pepper|[sauce] milk|sliced cheese|mayonnaise|honey|lemon juice,https://haemukja.com/recipes/3175,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,동남아/인도 요리|이국적인맛,374.1,15.05,67.8,1322.8,210.1,9.65,"['없는단어', '고춧가루', '플레인요거트', '마늘', '카레분말', '올리브기름', '레몬', '소금', '후추', '우유', '치즈', '마요네즈', '꿀', '레몬즙']",2.8
Tofu Salad,9,"순두부,부추,양파,마늘,간장,없는단어,참깨,없는단어,올리브기름",soft tofu|chopped chives|[Dressing] chopped onion|minced garlic|soy sauce|vinegar (or lemon juice)|ground sesame seed|syrup|olive oil,https://haemukja.com/recipes/3072,반찬,간식/야식,한식 요리,31.95,3.85,0.65,352.9,4.05,1.2,"['순두부', '부추', '양파', '마늘', '간장', '없는단어', '참깨', '없는단어', '올리브기름']",4.1
Tomato Curry,11,"토마토,없는단어,없는단어,오징어,감자,고형카레,푸른콩,양송이버섯,마늘,소금,후추",tomato|onion|cabbage|squid|potato|solid curry block|green beans|button mushroom|[Sauce] minced garlic|salt|pepper,https://haemukja.com/recipes/3094,반찬,,퓨전요리|동남아/인도 요리|한식 요리,9.575,4.075,5.2,84.9,12.3,9.7,"['토마토', '없는단어', '없는단어', '오징어', '감자', '고형카레', '푸른콩', '양송이버섯', '마늘', '소금', '후추']",2.6
Tomato Salsa,9,"토마토,없는단어,파프리카,없는단어,올리브,올리브오일,레몬즙,꿀,소금",tomato|onion|paprika|canned (cooked beans)|olives|[Sauce] olive oil|lemon juice|honey|salt,https://haemukja.com/recipes/3074,소스,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|멕시칸 요리|양식 요리,5.35,2.425,0.525,3.475,5.825,14.425,"['토마토', '없는단어', '파프리카', '없는단어', '올리브', '올리브오일', '레몬즙', '꿀', '소금']",2.7
Tomato Shepherd's Pie,11,"소고기다짐육,토마토,감자,토마토소스,없는단어,캐첩,설탕,버터,우유,소금,후추",minced beef|tomato|potato|store-bought tomato sauce|onion|ketchup.|sugar|butter|milk|salt|pepper,https://haemukja.com/recipes/3167,후식,간식/야식|손님 접대 요리|파티/명절요리,양식 요리,239.5,40.0,36.1,886.45,74.65,76.05,"['소고기다짐육', '토마토', '감자', '토마토소스', '없는단어', '캐첩', '설탕', '버터', '우유', '소금', '후추']",2.4
Tortilla Nachos,11,"또띠아,없는단어,곡물,올리브,없는단어,토마토소스,후추,설탕,캐첩,나초치즈소스,요거트",tortilla|onion (small)|corn|olives|sliced ham (or bacon)|[Tomato salsa] store-bought|pepper|sugar|ketchup.|[Nacho cheese sauce] store-bought sauce|[Plain yogurt] store-bought yogurt,https://haemukja.com/recipes/3131,빵,술안주,퓨전요리|이국적인맛|멕시칸 요리,145.2,57.0,8.8,264.65,108.45,3.85,"['또띠아', '없는단어', '곡물', '올리브', '없는단어', '토마토소스', '후추', '설탕', '캐첩', '나초치즈소스', '요거트']",2.3
Tsuyu Salad Pasta,9,"스파게티면,없는단어,샐러드,쯔유소스,간장,레몬즙,설탕,오리엔탈소스,물",spaghetti noodles|beef brisket (point cut/second cut)|salad mix|[sauce] Tsuyu|soy sauce| lemon juice|sugar|oriental sauce|water,https://haemukja.com/recipes/3171,국밥/면/죽,간식/야식|손님 접대 요리,퓨전요리|이국적인맛|일식 요리|양식 요리,52.55,3.8,10.9,356.4,9.95,2.5,"['스파게티면', '없는단어', '샐러드', '쯔유소스', '간장', '레몬즙', '설탕', '오리엔탈소스', '물']",2.9
Vegetable Cream Soup,8,"감자,없는단어,양송이버섯,브로콜리,우유,버터,소금,후추",potato|onion|button mushroom|broccoli|milk|[Sauce] butter (or olive oil)|salt|pepper,https://haemukja.com/recipes/3088,스프,간식/야식|손님 접대 요리,양식 요리,5.56,2.9,1.14,54.26,23.06,5.36,"['감자', '없는단어', '양송이버섯', '브로콜리', '우유', '버터', '소금', '후추']",3.0
Webfoot Octopus Rice Bowl,11,"주꾸미,밥,애호박,없는단어,버터,없는단어,간장,물,설탕,없는단어,후추",webfoot octopus|rice|zucchini|onion|butter|cooking wine (or mirim)|[sauce] soy sauce|water|sugar|cooking wine (or mirim)|pepper,https://haemukja.com/recipes/3168,밥,간식/야식|술안주|손님 접대 요리|파티/명절요리,한식 요리,161.05,49.65,21.55,1082.75,53.05,9.9,"['주꾸미', '밥', '애호박', '없는단어', '버터', '없는단어', '간장', '물', '설탕', '없는단어', '후추']",2.0
White Chocolate Pop Cake,6,"화이트초콜릿,버터,나무꼬챙이막대기,스프링클,설탕가닥,카스터드크림케이크",white chocolate|butter|wood skewer sticks|sprinkles or sugar strands|custard cream cake,https://haemukja.com/recipes/3057,후식,간식/야식|손님 접대 요리|파티/명절요리,이국적인맛|양식 요리,1877.0,180.2,40.7,719.9,1020.0,8.3,"['화이트초콜릿', '버터', '나무꼬챙이막대기', '스프링클', '설탕가닥', '카스터드크림케이크']",2.4
Zucchini and Tofu Braised in Salted Fermented Shrimp,10,"애호박,없는단어,없는단어,대파,없는단어,고춧가루,없는단어,물,참깨,후추",zucchini|tofu|onion|large green onion|wild sesame oil (sesame oill)|red pepper flake|saeujeot (salted fermented shrimp)|water|ground sesame seed|pepper,https://haemukja.com/recipes/3078,반찬,,한식 요리,6.275,2.05,1.775,108.225,29.25,2.05,"['애호박', '없는단어', '없는단어', '대파', '없는단어', '고춧가루', '없는단어', '물', '참깨', '후추']",2.5
가라아게,18,"닭다리살,계란,마늘,생강,생강가루,간장,소금,후추,전분가루,튀김기름,양배추,양파,양파,마요네즈,플레인요거트,레몬즙,후추,설탕",닭다리살|달걀|다진마늘|다진생강이나 생강가루|간장|소금|후춧가루|전분가루|튀김기름|양배추|양파|양파|마요네즈|플레인요거트|레몬즙|후추|설탕,https://haemukja.com/recipes/2628,반찬,술안주|손님 접대 요리,일식 요리,157.8,17.6,28.1,492.1,39.5,11.9,"['닭다리살', '계란', '마늘', '생강', '생강가루', '간장', '소금', '후추', '전분가루', '튀김기름', '양배추', '양파', '양파', '마요네즈', '플레인요거트', '레몬즙', '후추', '설탕']",1.9
가래떡 떡볶이,9,"고춧가루,설탕,간장,고추장,다시팩,양배추,어묵,가래떡,쪽파",고춧가루|설탕|간장|고추장|다시팩|양배추|어묵|가래떡|쪽파,https://haemukja.com/recipes/3210,반찬,간식/야식,한식 요리,112.3,46.85,6.7,1230.6,34.75,5.1,"['고춧가루', '설탕', '간장', '고추장', '다시팩', '양배추', '어묵', '가래떡', '쪽파']",2.5
가래떡 무채떡볶이,8,"가래떡,어묵,무,대파,고추장,간장,꿀,참기름",가래떡|어묵|무|대파|고추장|간장|꿀|참기름,https://haemukja.com/recipes/5371,반찬,간식/야식,한식 요리,18.875,15.275,1.425,280.75,8.5,1.55,"['가래떡', '어묵', '무', '대파', '고추장', '간장', '꿀', '참기름']",2.9
가래떡 츄러스,4,"가래떡,설탕,계피,식용유",가래떡|황설탕|계피분말|식용유,https://haemukja.com/recipes/377,후식,간식/야식,퓨전요리,516.7,118.4,7.2,306.4,30.5,2.3,"['가래떡', '설탕', '계피', '식용유']",2.7
가래떡구이&콩고물조청소스,7,"가래떡,참기름,조청,물엿,간장,굴소스,콩가루",가래떡|참기름|조청 혹은 물엿 5 큰술|간장|굴소스 0.5 큰술|콩가루,https://haemukja.com/recipes/4514,반찬,술안주|간식/야식,한식 요리,24.85,10.15,1.1,288.2,5.95,4.0,"['가래떡', '참기름', '조청', '물엿', '간장', '굴소스', '콩가루']",5.0
가래떡떡볶이,8,"가래떡,고춧가루,설탕,소금,후추,소고기다시다,어묵,대파",가래떡|고추가루|백설탕|소금|후추|쇠고기다시다|사각어묵|대파,https://haemukja.com/recipes/5143,반찬,술안주|간식/야식,한식 요리,144.65,59.35,8.4,868.75,27.5,0.75,"['가래떡', '고춧가루', '설탕', '소금', '후추', '소고기다시다', '어묵', '대파']",1.8
가스파초,10,"토마토,파프리카,오이,양파,마늘,물,올리브유,레몬즙,소금,바게트",토마토 中|적파프리카|오이|양파|마늘|물|올리브유|레몬즙|소금|바게트,https://haemukja.com/recipes/2436,반찬,,이국적인맛,8.85,1.4,0.3,34.75,3.9,13.5,"['토마토', '파프리카', '오이', '양파', '마늘', '물', '올리브유', '레몬즙', '소금', '바게트']",3.5
가지 쇠고기전,15,"가지,양파,소고기,고추,계란,부침가루,물,소금,양조간장,설탕,마늘,깨,참기름,간장,식초",가지|양파|쇠고기(불고기용)|홍고추|달걀|부침가루|물|소금|[쇠고기 양념] 양조간장|설탕|다진마늘|깨|참기름|[곁들인 간장 양념] 간장|식초,https://haemukja.com/recipes/4285,반찬,손님 접대 요리,한식 요리,370.7,35.6,26.8,2887.0,88.9,13.1,"['가지', '양파', '소고기', '고추', '계란', '부침가루', '물', '소금', '양조간장', '설탕', '마늘', '깨', '참기름', '간장', '식초']",3.9
가지구이와 고추잡채,5,"가지,양파,피망,굴소스,돼지고기등심",가지|양파|피망|굴소스|돼지등심,https://haemukja.com/recipes/2433,국밥/면/죽,술안주|간식/야식,,4.65,2.3,0.4,45.85,5.15,9.6,"['가지', '양파', '피망', '굴소스', '돼지고기등심']",5.0
가지나물,7,"가지,양파,마늘,파,간장,소금,참기름",가지|양파|다진 마늘|다진 파|간장|깨소금|참기름,https://haemukja.com/recipes/4340,반찬,,한식 요리,28.05,6.95,1.85,442.55,34.3,10.15,"['가지', '양파', '마늘', '파', '간장', '소금', '참기름']",2.3
가지된장구이,8,"가지,된장,물,쪽파,마늘,올리고당,쪽파,오일",가지|된장|물|쪽파|다진마늘|올리고당|쪽파|오일,https://haemukja.com/recipes/5192,반찬,,퓨전요리|일식 요리|한식 요리,26.7,10.4,1.9,366.25,25.55,7.7,"['가지', '된장', '물', '쪽파', '마늘', '올리고당', '쪽파', '오일']",4.1
가지된장덮밥,14,"가지,돼지고기다짐육,밥,대파,양파,된장,두반장,고추,마늘,참기름,식용유,전분물,소금,후추",가지|돼지고기 다짐육|밥|대파|양파|된장|두반장|청양고추|다진마늘|참기름|식용유|전분물|소금|후추,https://haemukja.com/recipes/3638,밥,,한식 요리,469.9,88.5,16.3,105.7,56.7,34.4,"['가지', '돼지고기다짐육', '밥', '대파', '양파', '된장', '두반장', '고추', '마늘', '참기름', '식용유', '전분물', '소금', '후추']",3.2
가지무침,8,"가지,간장,고춧가루,양파,마늘,대파,들깨기름,소금",가지|진간장|고추가루|양파|마늘|대파|들기름|깨소금,https://haemukja.com/recipes/353,반찬,,한식 요리,25.15,8.65,1.8,355.1,25.3,12.2,"['가지', '간장', '고춧가루', '양파', '마늘', '대파', '들깨기름', '소금']",2.5
가지밥,14,"가지,돼지고기다짐육,대파,간장,기름,쌀,부추,파,마늘,고춧가루,설탕,소금,간장,참기름",가지|간돼지고기(없어도무난)|대파|간장|기름|쌀|부추다진거|다진파|마늘|고춧가루|설탕|깨소금|간장|참기름,https://haemukja.com/recipes/2705,밥,,한식 요리,42.575,21.375,4.05,205.2,20.975,4.05,"['가지', '돼지고기다짐육', '대파', '간장', '기름', '쌀', '부추', '파', '마늘', '고춧가루', '설탕', '소금', '간장', '참기름']",1.9
가지볶음밥,8,"가지,파프리카,대파,밥,팽이버섯,방울토마토,계란,양파",가지|파프리카|대파|밥|팽이버섯|방울토마토|계란|양파,https://haemukja.com/recipes/2592,밥,,한식 요리,441.3,88.8,17.3,115.4,71.6,153.1,"['가지', '파프리카', '대파', '밥', '팽이버섯', '방울토마토', '계란', '양파']",4.0
가지오이냉국,12,"가지,오이,고추,고추,고춧가루,국간장,식초,설탕,마늘,물,소금,깨",가지(1개)|오이(1/2개)|청고추(1개)|홍고추(1/2개)|고춧가루(1/2큰술)|국간장(2큰술)|식초(2 1/2큰술)|설탕(2큰술)|다진 마늘(1큰술)|물(4컵)|소금(1/6큰술)|통깨(1/2큰술),https://haemukja.com/recipes/4896,국,,한식 요리,3.025,2.7,0.4,163.2,9.6,2.7,"['가지', '오이', '고추', '고추', '고춧가루', '국간장', '식초', '설탕', '마늘', '물', '소금', '깨']",3.0
가지오일파스타,9,"스파게티면,소금,가지,올리브오일,건고추,마늘,양파,참치,후추",스파게티|소금|가지|올리브 오일|건 고추|마늘|양파|참치|후추,https://haemukja.com/recipes/2854,국밥/면/죽,손님 접대 요리,양식 요리,690.6,111.2,49.4,687.3,136.6,19.7,"['스파게티면', '소금', '가지', '올리브오일', '건고추', '마늘', '양파', '참치', '후추']",3.0
가지찜나물,9,"가지,애간장,간장,소금,설탕,고춧가루,깨,재료명,참기름",가지|애간장|조선간장|소금|설탕|고춧가루|통깨|재료명 (예. 묵은김치)|참기름,https://haemukja.com/recipes/4960,반찬,,한식 요리,4.4,2.85,0.575,110.425,9.85,3.875,"['가지', '애간장', '간장', '소금', '설탕', '고춧가루', '깨', '재료명', '참기름']",1.7
가지타르틴,8,"가지,토마토소스,어린잎,파마산치즈가루,방울토마토,올리브오일,소금,후추",가지|토마토소스|어린잎|파마산치즈가루|방울토마토|올리브오일|소금|후추,https://haemukja.com/recipes/5836,반찬,,양식 요리,59.85,6.45,3.25,634.35,73.45,10.65,"['가지', '토마토소스', '어린잎', '파마산치즈가루', '방울토마토', '올리브오일', '소금', '후추']",1.8
가지튀김과 쪽파소스,5,"가지,튀김가루,쪽파,레몬즙,스위트칠리소스",가지|튀김가루|쪽파|레몬즙|스위트앤칠리소스,https://haemukja.com/recipes/5490,반찬,술안주,퓨전요리|중식 요리,133.0666667,32.13333333,3.6,323.8666667,47.46666667,16.13333333,"['가지', '튀김가루', '쪽파', '레몬즙', '스위트칠리소스']",4.4
가지호박 덮밥,6,"가지,애호박,대파,두반장,물엿,돼지고기다짐육",가지|애호박|대파|두반장|물엿|돼지고기 간것,https://haemukja.com/recipes/1350,밥,,퓨전요리,80.25,10.95,8.65,249.85,17.4,7.25,"['가지', '애호박', '대파', '두반장', '물엿', '돼지고기다짐육']",2.0
가지호박두부지짐이,12,"표고버섯,애호박,가지,양파,두부,고추장,고춧가루,설탕,간장,국간장,마늘,들깨기름",말린 표고버섯|애호박|가지|양파|두부|고추장|고춧가루|설탕|간장|국간장|다진 마늘|들기름,https://haemukja.com/recipes/5190,반찬,,한식 요리,14.9,6.775,3.85,338.65,43.275,3.75,"['표고버섯', '애호박', '가지', '양파', '두부', '고추장', '고춧가루', '설탕', '간장', '국간장', '마늘', '들깨기름']",4.3
가츠동,13,"돈가스,밥,느타리버섯,팽이버섯,마늘,쑥갓대,양파,계란,가쓰오부시육수,데리야끼소스,간장,후추,올리브유",시판 돈까스|밥|느타리버섯|팽이버섯|통마늘|쑥갓대|양파|계란|가쓰오부시육수|데리야끼 소스|간장|후추|올리브유,https://haemukja.com/recipes/96,밥,,일식 요리,874.1,115.0,39.0,3199.2,88.7,13.7,"['돈가스', '밥', '느타리버섯', '팽이버섯', '마늘', '쑥갓대', '양파', '계란', '가쓰오부시육수', '데리야끼소스', '간장', '후추', '올리브유']",1.6
각색 경단,5,"찹쌀가루,꿀,고물,검은깨,팥고물",찹쌀가루|꿀|고물(카스테라)|검은깨|팥고물,https://haemukja.com/recipes/4736,후식,간식/야식|나들이 요리|손님 접대 요리|파티/명절요리,한식 요리,251.3,22.8,9.1,2.3,327.5,0.4,"['찹쌀가루', '꿀', '고물', '검은깨', '팥고물']",2.1
