레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
베이컨갈릭 콘치즈,12,"옥수수통조림,캔,양파,파프리카,파프리카,베이컨,마늘,모짜렐라치즈,마요네즈,설탕,소금,후추",옥수수콘 캔|양파|청파프리카|적파프리카|베이컨 긴것|마늘|모짜렐라 치즈|마요네즈|설탕|소금|후추,https://haemukja.com/recipes/238,반찬,나들이 요리|술안주|간식/야식|파티/명절요리,퓨전요리,84.6,22.15,5.2,399.45,11.85,62.65,"['옥수수통조림', '캔', '양파', '파프리카', '파프리카', '베이컨', '마늘', '모짜렐라치즈', '마요네즈', '설탕', '소금', '후추']",2.7
베이컨덮밥,8,"베이컨,팽이버섯,양파,밥,식용유,소금,후추,쯔유소스",베이컨|팽이버섯|양파|밥|식용유|소금|후추|쯔유,https://haemukja.com/recipes/3751,밥,,퓨전요리,1048.1,81.0,31.2,1442.7,38.5,12.9,"['베이컨', '팽이버섯', '양파', '밥', '식용유', '소금', '후추', '쯔유소스']",5.0
베이컨랩닭다리구이,3,"닭다리,베이컨,로즈마리",닭다리|베이컨|로즈마리,https://haemukja.com/recipes/3827,반찬,파티/명절요리,양식 요리,734.1,6.3,58.2,977.5,27.3,8.8,"['닭다리', '베이컨', '로즈마리']",2.2
베이컨롤파스타,9,"감자,파스타면,양파,베이컨,치즈,생크림,우유,소금,후추",감자|파스타면|양파|베이컨|슬라이스치즈|생크림|우유|소금|후추,https://haemukja.com/recipes/4106,국밥/면/죽,파티/명절요리,이국적인맛,159.8,35.76666667,11.56666667,551.8666667,100.9,13.16666667,"['감자', '파스타면', '양파', '베이컨', '치즈', '생크림', '우유', '소금', '후추']",4.3
베이컨맥앤치즈또띠아피자,11,"또띠아,마카로니,우유,체다치즈,소금,후추,머스타드소스,토마토소스,설탕,바질,베이컨",또띠아|마카로니|우유(생크림)|체다치즈|소금|후추|머스터드|[소스] 시판토마토소스|설탕|바질|베이컨,https://haemukja.com/recipes/3429,빵,파티/명절요리,퓨전요리,58.1,18.93333333,6.433333333,278.3,93.33333333,0.8,"['또띠아', '마카로니', '우유', '체다치즈', '소금', '후추', '머스타드소스', '토마토소스', '설탕', '바질', '베이컨']",4.1
베이컨볼파스타,5,"베이컨,스파게티면,마늘,양파,토마토소스",베이컨|스파게티면|마늘|양파|토마토소스,https://haemukja.com/recipes/2098,국밥/면/죽,파티/명절요리,퓨전요리|양식 요리,1302.2,97.8,43.7,2391.5,69.5,27.0,"['베이컨', '스파게티면', '마늘', '양파', '토마토소스']",4.9
베이컨부추달걀전,8,"계란,부추,베이컨,소금,후추,간장,식초,고춧가루",달걀|부추|베이컨|[양념] 소금|후춧가루|[초간장] 간장|식초|고춧가루,https://haemukja.com/recipes/2701,반찬,술안주,한식 요리,60.45,2.0,7.05,418.35,22.55,7.1,"['계란', '부추', '베이컨', '소금', '후추', '간장', '식초', '고춧가루']",4.2
베이컨에그,6,"베이컨,식용유,계란,양파,옥수수통조림,치즈",베이컨|식용유|계란|양파|옥수수콘|치즈,https://haemukja.com/recipes/1323,반찬,간식/야식,양식 요리,558.5,15.4,22.7,858.1,155.4,5.8,"['베이컨', '식용유', '계란', '양파', '옥수수통조림', '치즈']",4.7
베이컨에그샌드위치,8,"모닝롤,베이컨,치즈,계란,어린잎채소,마요네즈,소금,후추",모닝롤|베이컨|슬라이스치즈|달걀|어린잎채소|마요네즈|소금|후추,https://haemukja.com/recipes/2703,빵,파티/명절요리,양식 요리,38.53333333,2.333333333,5.366666667,225.0,42.63333333,1.9,"['모닝롤', '베이컨', '치즈', '계란', '어린잎채소', '마요네즈', '소금', '후추']",4.6
베이컨영양밥,8,"찹쌀,보리,당근,베이컨,양파,표고버섯,소금,간장",찹쌀|보리|당근|베이컨|양파|표고버섯|소금|진간장,https://haemukja.com/recipes/4540,밥,손님 접대 요리,퓨전요리|한식 요리,149.3,43.0,7.75,329.8,21.55,5.3,"['찹쌀', '보리', '당근', '베이컨', '양파', '표고버섯', '소금', '간장']",3.8
